Name	Address	Public
StackAddr	00000000	
startAddress	00000004	
Mode_Set_Register_Three	000000DC	
CopyRights	00000100	
Peripherials	00000190	
RomStart	000001A0	
RomEnd	000001A4	
RamStart	000001A8	
RamEnd	000001AC	
SramCode	000001B0	
ModemCode	000001BC	
Reserved	000001C8	
CountryCode	000001F0	
main	00000200	
VDP_Init_Values	000002A8	
RegionLocking	000002FA	
RegionLockLoadMappings	00000400	
aDevelopedForUs	0000044E	
aSystems	0000046E	
aNtscMegaDrive	00000478	
aNtscGenesis	00000489	
aPalAndFrenchSe	00000497	
Rlock_Font	000004B8	
RegionPass	00000690	
Reserv3F	00000692	
ChecksumCheck	00000696	
RedScreenOfDeath	000006BA	
ChecksumOK	000006EC	
SetupRAMClr	000006F6	
RAMClrLoop	00000702	
Load_Interrupt_Handlers	00000736	
BusErr	00000758	
aBerr	0000075A	
AdrErr	0000075E	
aAerr	00000760	
InvOpCode	00000764	
aIlle	00000766	
DivBy0	0000076A	
aZdiv	0000076C	
Check	00000770	
aChki	00000772	
TrapV	00000776	
aTrpv	00000778	
GPF	0000077C	
aPriv	0000077E	
Trace	00000782	
aStep	00000784	
Reserv0	00000788	
aLina	0000078A	
Reserv1	0000078E	
aLinf	00000790	
aCatc	00000796	
aUnin	0000079C	
aSpur	000007A2	
IRQ1	000007A6	
aLev1	000007A8	
IRQ3	000007AC	
aLev3	000007AE	
IRQ5	000007B2	
aLev5	000007B4	
IRQ7	000007B8	
aLev7	000007BA	
Init_Values2	000007BE	
Game_Init_HW	0000081A	
Z80_94C	0000094C	
Z80_driver_load	000009D8	
PlaySFX	00000A7E	
PlayBGM	00000AB0	
SndDrvrUnkn2	00000AE2	
SndSetBPM?	00000B0E	
SndDrvrUnkn4	00000B3A	
SndDrvrUnkn5	00000B5E	
SndDrvrUnkn6	00000B82	
SndDrvrUnkn7	00000BA6	
SndDrvrUnkn8	00000BCE	
SetDirtySpriteList	00000C3E	
DisableSprite	00000D24	
PushSpriteinList	00000D48	
PushSpriteLikeprevious	00000D86	
ToUpper	00000F18	
ToLower	00000F30	
strlen	00000F48	
strcpy	00000F5C	
strcat	00000F6A	
Byte_Copy	00000F7E	
Byte_Fill	00000F96	
strcmp	00000FAE	
Word_Copy	00000FF2	
Word_Fill	0000100A	
AbsoluteValueWL	0000106A	
AbsoluteValueLL	00001076	
Write_Color	00001140	
Pal_Clear	0000116A	
Pal_Load	00001188	
Pal_Load2	000011AE	
Pal_Load3	000011CE	
IsPalleteEqual	000011FE	
Pal_Fill	00001216	
Pal_fade_to_black	00001242	
ClearPaletteLine	00001356	
CopyPaletteFrom	0000137E	
CopyPaletteTo	000013A8	
DivD0D1?	00001528	
CreateWindowPlane	00001702	
Setup_Scroll	0000179A	
DMA_Queue	00001A4E	
VInt_Sub	00001AD8	
ConvASCII2VRAM	00001D2A	
ASCIItranslator	00001D48	
d1_Modulo_d0	0000264C	
Get_IntMask	00002674	
Set_IntMask	00002680	
Enable_Ints	000026A2	
Disable_Ints	000026A8	
ResetGame	000026AE	
Init_Obj_Linked_List_In_Oder	00002728	
aNewobj	00002766	
aDelobj	00002776	
Half_Sine_u	0000299C	
Full_negSine_u	00002A9C	
Phsyics_Poiner_Functions?	00002B9C	
aEcco2104	00002BBC	
Full_Sine_s	00002BC8	
Full_Cosine_s	00002CC8	
CheatKeys	00002DC8	
DemoRecPointer	00002DD2	
DebugValueRange	000033F2	
SoundNumberPTR	0000341A	
ObjectPtrList	0000419A	
ObjectListPtr	00005CBA	
PlotMsgs	00006534	
CharRemapper	00006E22	
aTheSecretPassw	00006E9E	
aTryPlayingTheG	00006EB6	
PlaceholderRollText	00006F04	
VortexLrvBody	00028000	
EccoTileset	0002A6A0	
LftovrTentacle	000489C1	
VrtxMinionHead	00048B21	
MoonTopMiddle	00057E83	
MoonLeftMiddle	00058281	
Game_Startup_0	00083700	
jpt_83F8A	00083F8E	
def_83F8A	00083FBA	
jpt_83FD6	00083FDA	
def_83FD6	00084004	
nullsub_8	0008400A	
jpt_8418C	00084190	
def_8418C	000841E6	
jpt_84D70	00084D74	
def_84D70	00084FC6	
LaunchDemos2	00085F7A	
Game_Startup	00086BA6	
Title_Screen	00086CF8	
jpt_86DB0	00086DB4	
def_86DB0	00086E32	
Homebay_Celebration	00086E72	
jpt_87C8A	00087C8E	
jpt_87D24	00087D28	
def_87D24	00087D78	
def_87C8A	00087D8E	
jpt_88124	00088128	
def_88124	00088152	
jpt_88272	00088276	
def_88272	000882C6	
jpt_88324	00088328	
def_88324	00088398	
Sub_Interesting_88672	00088672	
jpt_8973A	0008973E	
def_8973A	00089892	
jpt_8A748	0008A74C	
def_8A748	0008A87E	
jpt_8AC96	0008AC9A	
def_8AC96	0008ACCC	
jpt_8B03C	0008B040	
def_8B03C	0008B1FA	
jpt_8BCEA	0008BCEE	
def_8BCEA	0008BEE6	
jpt_8C4D4	0008C4D8	
def_8C4D4	0008C722	
nullsub_2	0008C732	
aS	0008C818	
Pause_Function	0008C980	
nullsub_4	0008CBA2	
Load_DemoScripts	0008CBA4	
aFieldnumberD	0008CC3C	
a0Norm1Demo2Rec	0008CC51	
a0Norm1Demo2Rec_0	0008CC76	
aRecordTimeDSec	0008CC9B	
aInitialXPosDTi	0008CCB7	
aInitialYPosDTi	0008CCD3	
aMemoryAddress0	0008CCEF	
DemoRecorderScreen	0008CD08	
jpt_8CD90	0008CD94	
def_8CD90	0008CE0A	
jpt_8CEB6	0008CEBA	
def_8CEB6	0008CF08	
LevelBankSelector0	0008D83E	
LevelBankIdentifier	0008DCDC	
LevelBankSelector1	0008DDAC	
jpt_8DDD8	0008DDDC	
def_8DDD8	0008DEA6	
LevelBankSelector2	0008DEC0	
jpt_8DEEC	0008DEF0	
def_8DEEC	0008DFBA	
jpt_8E00A	0008E00E	
def_8E00A	0008E0D8	
aDolphinTwo	0008E110	
aStageName	0008E11C	
aSoundNumber065	0008E129	
aMusicTempo1201	0008E147	
aMessageNumber0	0008E165	
aUnlimitedLife0	0008E183	
aTeleporterX0	0008E1A1	
aTeleporterY0	0008E1BF	
aForceEasyGame0	0008E1DD	
aForceChargeSon	0008E1FB	
aForceHardGame0	0008E219	
aCurGameMode0Ea	0008E237	
aResetStageCSta	0008E259	
a4dS_0	0008E276	
aLd_0	0008E295	
a3dBubble	0008E29E	
a3dMedusa	0008E2A8	
a3dShark	0008E2B2	
a3dLines	0008E2BB	
a3dMixed	0008E2C4	
a4dS	0008E2CD	
aLd	0008E2F0	
DebugMenu	0008E2F6	
jpt_8E848	0008E84C	
def_8E848	0008E874	
jpt_8F2EA	0008F2EE	
def_8F2EA	0008F384	
jpt_8FEA6	0008FEAA	
def_8FEA6	0008FF1C	
Display_SonarMap	00091DA0	
jpt_91E26	00091E2A	
def_91E26	00091E5C	
nullsub_5	000922DE	
CollisionObj	0009257C	
jpt_9274C	00092750	
def_9274C	0009277C	
jpt_92798	0009279C	
def_92798	000927CC	
jpt_927E8	000927EC	
def_927E8	00092820	
aBadRosszIndeks	00095C4E	
Obj_ptr_Checker	00095C64	
jpt_95D76	00095D7A	
def_95D76	00095DB2	
jpt_96414	00096418	
def_96414	000965EA	
interest_sub_9A038	0009A038	
nullsub_7	0009B5D8	
jpt_9D5A4	0009D5A8	
jpt_9D662	0009D666	
def_9D5A4	0009D6EE	
V_VEL_LT_SIGNED	0009D988	
jpt_9E0DC	0009E0E0	
def_9E0DC	0009E152	
jpt_9EE94	0009EE98	
def_9EE94	0009EF3C	
nullsub_1	000A0640	
nullsub_6	000A0642	
jpt_A0F24	000A0F28	
def_A0F24	000A0F72	
jpt_A5574	000A5578	
def_A5574	000A5606	
jpt_A6A26	000A6A2A	
def_A6A26	000A6ABC	
jpt_A6BA2	000A6BA6	
def_A6BA2	000A6C34	
jpt_AB89A	000AB89E	
def_AB89A	000AB948	
jpt_AC700	000AC704	
def_AC700	000AC71A	
jpt_B48F6	000B48FA	
def_B48F6	000B49E4	
jpt_B5400	000B5404	
def_B5400	000B54F0	
jpt_B5FAA	000B5FAE	
def_B5FAA	000B603A	
jpt_B916A	000B916E	
def_B916A	000B9404	
jpt_B97C4	000B97C8	
def_B97C4	000B9860	
jpt_B9C34	000B9C38	
def_B9C34	000B9E28	
ASCII_to_BigFont	000BACBA	
jpt_BACEE	000BACF2	
def_BACEE	000BADDE	
Load_Coral	000BAF12	
Wierd_Water_Ripple	000BAF36	
SEGA_logo	000BB2B2	
Print_InGame_Msgs	000BB762	
data_unk_BC43C	000BC43C	
data_unk_BC43D	000BC43D	
data_unk_BC43E	000BC43E	
data_unk_BC43F	000BC43F	
data_unk_BC440	000BC440	
data_unk_BC441	000BC441	
data_unk_BC442	000BC442	
data_unk_BC443	000BC443	
data_unk_BC444	000BC444	
data_unk_BC445	000BC445	
aSingToTheBubbl	000BC446	
aContinueLevelR	000BC481	
aTheSeaIsFilled	000BC4A8	
data_byte_BC52F	000BC52F	
data_byte_BC530	000BC530	
data_byte_BC531	000BC531	
data_byte_BC532	000BC532	
data_byte_BC533	000BC533	
data_byte_BC534	000BC534	
data_byte_BC535	000BC535	
data_byte_BC536	000BC536	
data_byte_BC537	000BC537	
data_byte_BC538	000BC538	
data_byte_BC539	000BC539	
data_byte_BC53A	000BC53A	
data_byte_BC53B	000BC53B	
aUseThisSongToS_0	000BC53C	
aThisWayIsVeryH	000BC560	
data_byte_BC58D	000BC58D	
aYouMayNotPassY	000BC58E	
data_byte_BC5C5	000BC5C5	
aChargeSmallFis	000BC5C6	
aHowCanYouStayB	000BC5F3	
aYourPowersAreS	000BC62D	
aTheAsteriteGav	000BC668	
aItIsGoodToBeBa	000BC6AF	
aTheMarksOnYour	000BC6E4	
aIAmTrelliaAndY	000BC719	
aUseTheWaterTub	000BC83D	
aBewareTheFloat	000BC88C	
aAfterMillionsO	000BC8A8	
aGiantTubesOfWa	000BC8F8	
aNowTheOceanIsC	000BC92C	
aYouLookStrange	000BC960	
aLifeOnEarthIsI	000BC986	
aYouAreTheStone	000BC9AB	
aTheMetasphereW	000BC9C1	
data_byte_BCA11	000BCA11	
