Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	S	B	T	=
main	ROM	00000200	00000200			R	.	.	.	.	.	T	.
RegionLockLoadMappings	ROM	00000400	00000036			R	.	.	.	.	.	.	.
Reserv3F	ROM	00000692	00000002			R	.	.	.	.	.	.	.
Load_Interrupt_Handlers	ROM	00000736	00000022			R	.	.	.	.	.	.	.
BusErr	ROM	00000758	00000002			R	.	.	.	.	.	.	.
AdrErr	ROM	0000075E	00000002			R	.	.	.	.	.	.	.
InvOpCode	ROM	00000764	00000002			R	.	.	.	.	.	.	.
DivBy0	ROM	0000076A	00000002			R	.	.	.	.	.	.	.
Check	ROM	00000770	00000002			R	.	.	.	.	.	.	.
TrapV	ROM	00000776	00000002			R	.	.	.	.	.	.	.
GPF	ROM	0000077C	00000002			R	.	.	.	.	.	.	.
Trace	ROM	00000782	00000002			R	.	.	.	.	.	.	.
Reserv0	ROM	00000788	00000002			R	.	.	.	.	.	.	.
Reserv1	ROM	0000078E	00000002			R	.	.	.	.	.	.	.
IRQ1	ROM	000007A6	00000002			R	.	.	.	.	.	.	.
IRQ3	ROM	000007AC	00000002			R	.	.	.	.	.	.	.
IRQ5	ROM	000007B2	00000002			R	.	.	.	.	.	.	.
IRQ7	ROM	000007B8	00000002			R	.	.	.	.	.	.	.
Game_Init_HW	ROM	0000081A	0000006E			R	.	.	.	.	.	.	.
sub_888	ROM	00000888	00000020			R	.	.	.	.	.	.	.
sub_8A8	ROM	000008A8	000000A4			R	.	.	.	.	.	.	.
Z80_driver_load	ROM	000009D8	000000A6			R	.	.	.	.	.	.	.
PlaySFX	ROM	00000A7E	00000032			R	.	.	.	.	.	.	.
PlayBGM	ROM	00000AB0	00000032			R	.	.	.	.	.	.	.
SndDrvrUnkn2	ROM	00000AE2	0000002C			R	.	.	.	.	.	.	.
SndSetBPM?	ROM	00000B0E	0000002C			R	.	.	.	.	.	.	.
SndDrvrUnkn4	ROM	00000B3A	00000024			R	.	.	.	.	.	.	.
SndDrvrUnkn5	ROM	00000B5E	00000024			R	.	.	.	.	.	.	.
SndDrvrUnkn6	ROM	00000B82	00000024			R	.	.	.	.	.	.	.
SndDrvrUnkn7	ROM	00000BA6	00000028			R	.	.	.	.	.	.	.
SndDrvrUnkn8	ROM	00000BCE	0000002C			R	.	.	.	.	.	.	.
sub_BFC	ROM	00000BFC	00000020			R	.	.	.	.	.	.	.
sub_C1C	ROM	00000C1C	00000014			R	.	.	.	.	.	.	.
sub_C30	ROM	00000C30	0000000E			R	.	.	.	.	.	.	.
SetDirtySpriteList	ROM	00000C3E	00000008			R	.	.	.	.	.	.	.
sub_C46	ROM	00000C46	00000028			R	.	.	.	.	.	.	.
sub_C6E	ROM	00000C6E	0000003A			R	.	.	.	.	.	.	.
sub_CA8	ROM	00000CA8	0000002A			R	.	.	.	.	.	.	.
sub_CF2	ROM	00000CF2	00000032			R	.	.	.	.	.	.	.
DisableSprite	ROM	00000D24	00000024			R	.	.	.	.	.	.	.
PushSpriteinList	ROM	00000D48	0000003E			R	.	.	.	.	.	.	.
PushSpriteLikeprevious	ROM	00000D86	0000003E			R	.	.	.	.	.	.	.
sub_DC4	ROM	00000DC4	0000007E			R	.	.	.	.	.	.	.
ToUpper	ROM	00000F18	00000018	00000000	00000004	R	.	.	.	.	.	.	.
ToLower	ROM	00000F30	00000018	00000000	00000004	R	.	.	.	.	.	.	.
strlen	ROM	00000F48	00000014	00000000	00000004	R	.	.	.	.	.	.	.
strcpy	ROM	00000F5C	0000000E	00000000	00000008	R	.	.	.	.	.	.	.
strcat	ROM	00000F6A	00000014			R	.	.	.	.	.	.	.
Byte_Copy	ROM	00000F7E	00000018	00000000	0000000C	R	.	.	.	.	.	.	.
Byte_Fill	ROM	00000F96	00000018	00000000	0000000C	R	.	.	.	.	.	.	.
strcmp	ROM	00000FAE	00000026	00000000	0000000C	R	.	.	.	.	.	.	.
sub_FD4	ROM	00000FD4	0000001E			R	.	.	.	.	.	.	.
Word_Copy	ROM	00000FF2	00000018	00000000	0000000C	R	.	.	.	.	.	.	.
Word_Fill	ROM	0000100A	00000018	00000000	0000000C	R	.	.	.	.	.	.	.
sub_1022	ROM	00001022	00000024			R	.	.	.	.	.	.	.
sub_1046	ROM	00001046	00000024			R	.	.	.	.	.	.	.
AbsoluteValueWL	ROM	0000106A	0000000C			R	.	.	.	.	.	.	.
AbsoluteValueLL	ROM	00001076	0000000A			R	.	.	.	.	.	.	.
sub_1080	ROM	00001080	00000006			R	.	.	.	.	.	.	.
sub_10AA	ROM	000010AA	00000094			R	.	.	.	.	.	.	.
Write_Color	ROM	00001140	0000001A			R	.	.	.	.	.	.	.
sub_115A	ROM	0000115A	00000008			R	.	.	.	.	.	.	.
sub_1162	ROM	00001162	00000008			R	.	.	.	.	.	.	.
